rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_fraction
310.8,362496,-19.308,861,177,420,14.88228988647461,0.0003,0.2,0.6234657764434814,6660,-0.016093091161746998,0.010978851,102.74009701013566,-0.898932539485395,0.1396484375
313.38,364544,-20.444,869,178,419,38.06861114501953,0.0003,0.2,0.6269781589508057,6670,-0.02070057757664472,0.016322361,87.30840297937394,-0.9786769166588783,0.178466796875
309.04,366592,-17.892,875,179,418,45.46644592285156,0.0003,0.2,0.6363886594772339,6680,-0.01969266237283591,0.016962372,88.6772834956646,-0.9717442058026791,0.21474609375
311.08,368640,-18.892000000000003,881,180,418,19.772201538085938,0.0003,0.2,0.6605727672576904,6690,-0.01295686176599702,0.018243076,87.51593768298626,-0.9270999306812883,0.183544921875
315.0,370688,-20.972,886,181,418,15.588403701782227,0.0003,0.2,0.4217031002044678,6700,-0.009684991909307428,0.015934274,92.36048945188523,-0.9409153312444687,0.17099609375
314.33,372736,-20.78,892,182,417,39.314544677734375,0.0003,0.2,0.7590038776397705,6710,-0.021890058137068992,0.026773795,55.59904559254646,-0.9578168861567974,0.27646484375
314.47,374784,-20.139,899,183,416,70.89974975585938,0.0003,0.2,0.7322945594787598,6720,-0.016963637224398552,0.014653619,101.77125909924507,-0.9082289347425103,0.2044921875
313.43,376832,-19.276,906,184,415,32.651573181152344,0.0003,0.2,0.6611301898956299,6730,-0.014814621803816408,0.013387345,101.54100416898727,-0.9436058338731528,0.154931640625
312.09,378880,-19.187,914,185,414,37.643470764160156,0.0003,0.2,0.5710660219192505,6740,-0.02162301369535271,0.013235277,90.39720423221588,-0.926220640540123,0.139013671875
314.47,380928,-20.846,921,186,413,34.636226654052734,0.0003,0.2,0.6977167725563049,6750,-0.01851368132774951,0.011658335,77.56960452795029,-0.8914092522114515,0.124658203125
315.85,382976,-23.585999999999995,927,187,413,3.369852304458618,0.0003,0.2,0.7373692989349365,6760,-0.019102368016319815,0.022974232,32.54197844415903,-0.974172686971724,0.2626953125
314.69,385024,-23.442000000000004,931,188,413,18.494380950927734,0.0003,0.2,0.8707390427589417,6770,-0.011721939583367202,0.041601904,22.896599996834993,-0.9593733787536621,0.269140625
312.84,387072,-22.678999999999995,935,189,413,70.26423645019531,0.0003,0.2,0.6782088279724121,6780,-0.01400254616746679,0.010045124,132.5196651518345,-0.8625553105026483,0.127734375
