time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/entropy_loss,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_range
688128,336,41.42,19.287999999999997,191,3598,-0.6863864060491324,3350,21.604894971847536,0.49605417251586914,0.136328125,0.017183233,8.919110298156738,-0.015429967663658317,0.0003,0.2
690176,337,40.62,19.319000000000003,191,3612,-0.6284461672417819,3360,13.928462505340576,0.7515778541564941,0.1431640625,0.015776375,5.176084518432617,-0.01824650300259236,0.0003,0.2
692224,338,41.58,18.598,190,3626,-0.6719920009374618,3370,16.928478506207465,0.8345528841018677,0.153271484375,0.01290717,6.844272136688232,-0.01669808192527853,0.0003,0.2
694272,339,43.09,17.287,190,3639,-0.6244494353421033,3380,16.834057894349097,0.8346248865127563,0.13701171875,0.013314366,6.660741806030273,-0.017909795400919394,0.0003,0.2
696320,340,41.41,18.235,190,3658,-0.7275350753217935,3390,19.17415105253458,0.8450808525085449,0.162841796875,0.017628187,9.342418670654297,-0.017424545966787264,0.0003,0.2
698368,341,42.97,17.823,190,3671,-0.651985765248537,3400,17.768142345547677,0.7950588464736938,0.15244140625,0.019212067,7.351753234863281,-0.020710479145054705,0.0003,0.2
700416,342,45.52,16.147000000000002,190,3684,-0.7445505574345589,3410,16.75076585561037,0.6945507526397705,0.18037109375,0.019069212,4.8326416015625,-0.02298566163808573,0.0003,0.2
702464,343,48.0,15.066000000000004,189,3698,-0.6480788495391607,3420,21.977989506721496,0.8016797304153442,0.14501953125,0.011717051,7.24513053894043,-0.019214622452273032,0.0003,0.2
704512,344,43.65,17.826,189,3716,-0.6839117106050253,3430,33.272006693482396,0.8560581207275391,0.124267578125,0.012958654,12.843876838684082,-0.015318766582640819,0.0003,0.2
706560,345,46.41,16.226000000000003,189,3731,-0.6766175091266632,3440,46.86936728358269,0.899878978729248,0.10908203125,0.009444831,11.926523208618164,-0.016760747192893177,0.0003,0.2
708608,346,46.22,16.322,189,3744,-0.6986176267266273,3450,35.92922002971172,0.8705142140388489,0.120703125,0.013158722,27.40022850036621,-0.015114455466391518,0.0003,0.2
710656,347,46.54,16.314999999999998,189,3758,-0.6864804055541753,3460,37.08003204166889,0.8709450960159302,0.14873046875,0.019563895,7.926501274108887,-0.01795992308179848,0.0003,0.2
