time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range
480,16.308,45.99,708608,346,1473,-0.7968700075522065,0.015021301,-0.016469014098402113,3450,31.0233923971653,5.548458099365234,0.0003,0.7749667763710022,0.16240234375,0.2
480,17.363,44.8,710656,347,1478,-0.749044668674469,0.013945575,-0.01691119126189733,3460,31.074219101667403,10.065661430358887,0.0003,0.6703904271125793,0.12275390625,0.2
480,15.056000000000001,49.68,712704,348,1482,-0.7356069099158049,0.018723927,-0.02403000620106468,3470,28.398259881138802,9.79238224029541,0.0003,0.6033031940460205,0.16171875,0.2
480,11.748,55.9,714752,349,1487,-0.8516411058604717,0.022553667,-0.023474262034869752,3480,21.88810042440891,9.690138816833496,0.0003,0.7033846378326416,0.184033203125,0.2
480,12.208999999999998,54.88,716800,350,1491,-0.8874931760132313,0.01596204,-0.017202396094216966,3490,32.53091303110123,14.868701934814453,0.0003,0.6364550590515137,0.182763671875,0.2
480,18.232,43.82,718848,351,1496,-0.6806962884962559,0.014651288,-0.023590560430602637,3500,34.52469543516636,10.854790687561035,0.0003,0.6245912313461304,0.137646484375,0.2
480,16.491999999999997,46.54,720896,352,1500,-0.742991590872407,0.027725775,-0.027550130597956014,3510,21.1958546936512,10.888168334960938,0.0003,0.4329960346221924,0.213232421875,0.2
480,14.985,48.46,722944,353,1505,-0.7545277612283826,0.021908635,-0.021328254623222166,3520,19.7772034779191,6.059762954711914,0.0003,0.598667323589325,0.197265625,0.2
480,14.713999999999999,48.44,724992,354,1509,-0.8046615051105619,0.023826905,-0.02389837212394923,3530,17.842441825568677,8.116829872131348,0.0003,0.535173773765564,0.202880859375,0.2
480,18.607999999999997,41.69,727040,355,1513,-0.723687200434506,0.023793533,-0.019804838998243212,3540,20.18003218024969,8.995932579040527,0.0003,0.5137247443199158,0.16376953125,0.2
480,16.457000000000004,47.26,729088,356,1518,-0.6916659872978925,0.018274212,-0.017082888566073963,3550,16.944879361987113,6.448633193969727,0.0003,0.6468260288238525,0.164013671875,0.2
480,16.464999999999996,46.73,731136,357,1522,-0.8066598879173398,0.014964931,-0.0206960682378849,3560,21.908171543478964,6.039157867431641,0.0003,0.7440305948257446,0.176318359375,0.2
480,17.189,44.54,733184,358,1527,-0.6727104566991329,0.0169627,-0.01853990546951536,3570,19.877580937743186,6.077760219573975,0.0003,0.6611138582229614,0.158984375,0.2
480,17.211,44.05,735232,359,1531,-0.7986033882945776,0.019650925,-0.020375205988239033,3580,18.55724623054266,6.12675666809082,0.0003,0.6744024753570557,0.197998046875,0.2
480,20.925,38.1,737280,360,1535,-0.6926512941718102,0.0156071875,-0.02095424593280768,3590,18.819836084544658,4.639559268951416,0.0003,0.806552529335022,0.157861328125,0.2
479,20.370999999999995,39.36,739328,361,1540,-0.6472117843106389,0.014489447,-0.019714718576869926,3600,24.176628631353378,8.148876190185547,0.0003,0.7322365045547485,0.14296875,0.2
479,18.174,43.36,741376,362,1545,-0.6712010610848665,0.019258838,-0.02809497243142687,3610,18.693481308221816,6.541903972625732,0.0003,0.6236237287521362,0.17900390625,0.2
479,17.765,44.15,743424,363,1549,-0.755597504414618,0.021205911,-0.02164823836501455,3620,17.000123418867588,6.106177806854248,0.0003,0.7559593915939331,0.206396484375,0.2
479,20.812,37.94,745472,364,1554,-0.7100690307095647,0.016838156,-0.020986259532219265,3630,20.310935166478156,8.647887229919434,0.0003,0.7195794582366943,0.16435546875,0.2
479,18.187000000000005,42.21,747520,365,1558,-0.6526156570762396,0.019295264,-0.017205889566685072,3640,20.661850729584692,13.351438522338867,0.0003,0.7781440615653992,0.137890625,0.2
479,14.498000000000001,49.58,749568,366,1563,-0.7926329867914319,0.01794251,-0.020431997574632987,3650,24.12927822470665,12.304887771606445,0.0003,0.7964410781860352,0.1751953125,0.2
479,17.488000000000003,44.55,751616,367,1567,-0.7714927766472102,0.015971731,-0.027135653670120517,3660,32.13115635812282,16.35196304321289,0.0003,0.7426051497459412,0.18056640625,0.2
479,18.733999999999998,41.7,753664,368,1572,-0.6776263257488608,0.016036795,-0.023006181957316584,3670,32.46511079967022,13.991986274719238,0.0003,0.5533456206321716,0.14228515625,0.2
479,15.636000000000001,47.66,755712,369,1576,-0.7199460240080953,0.018945932,-0.019255012430949136,3680,26.284971234202384,10.501937866210938,0.0003,0.6846792697906494,0.165283203125,0.2
479,13.077,52.38,757760,370,1580,-0.8048076337203384,0.026248455,-0.025441935744311195,3690,23.118132081627845,11.283924102783203,0.0003,0.7582240700721741,0.2041015625,0.2
479,19.582,40.19,759808,371,1585,-0.83215566650033,0.01635254,-0.021812141317059285,3700,31.150718596577644,8.60660171508789,0.0003,0.7971830368041992,0.181103515625,0.2
479,19.741,39.99,761856,372,1589,-0.5590317367576063,0.021593753,-0.021966483264259297,3710,16.594525104761125,3.4086318016052246,0.0003,0.3005620241165161,0.16484375,0.2
479,16.767999999999997,45.61,763904,373,1593,-0.819746389426291,0.018314846,-0.019673529302235693,3720,16.250592975318433,8.06190299987793,0.0003,0.7717360258102417,0.170947265625,0.2
479,17.165,44.73,765952,374,1598,-0.6903690155595541,0.01928858,-0.019400489485997242,3730,19.28504445850849,6.1989288330078125,0.0003,0.7540334463119507,0.159033203125,0.2
479,15.506000000000002,48.07,768000,375,1602,-0.7200311621651053,0.019383628,-0.022562309581553565,3740,18.613166663050652,9.228493690490723,0.0003,0.8043420314788818,0.1623046875,0.2
